VMRSCode,"Long Description","Short Description ",Obsolete,Comments
CLIMC,"Climate Control","Climate Control",,
CLIMA,"Climatech, div. of Paccar, Inc.",Climatech,,"Requested by FedEx"
CLMTC,"ClimaTech Inc",ClimaTech,,"200 Bilmar Dr. Pittsburgh, Pa. 15205Requested by Gordon Trk. "
CLIMX,"CLIMAX INT'L EQUIP CO. LTD.",,,
CLNMG,"Cline Mining Trucks","Cline Mining Trucks",,
CLIEL,"Clinton Electrical & Plum ","Clinton Electrical & Plum ",,
CLTEN,"Clinton Engine","Clinton Engine",,
CLIPL,"Cliplight Manufacturing Company","Cliplight Manufacturing Company",,
CLPRD,"Clippard Instrument Laboratory Inc","Clippard Instrument Laboratory",,
CLMXX,CLM,CLM,,
CLORE,"Clore Automotive","Clore Auto",,"Requested by FedEx"
CLRDR,"Cloud Rider Designs Ltd","Cloud Rider Designs Ltd",,
CLGHX,"CLOUGH EQUIPMENT CO.",,,
CLVPT,"Cloverdale Paint","Cloverdale Paint",,
CLOYS,Cloyes,Cloyes,,
CLBCR,"Club Car, Inc.","Club Car",,
CLUBD,Club3D,Club3D,,
CCCLU,"Clutch Craft Clutches","Clutch Craft Clutches",,
CLYIR,"CLYDE IRON",,,
CMENT,"CM Entertainment Technology","CM Entertainment Technology",,
CMCEQ,"CMC Rescure Equipment","CMC Rescue",,"P O Box 6870 Santa Barbara, Ca. 93117Requested by Cetaris"
CMIXX,CMI,CMI,,
CMPXX,CMP,CMP,,
CMPOS,"CMP Oilfield Service Inc","CMP Oilfield Service Inc",,
CMSCO,"CMS Communications","CMS Communications",,
CNBTC,"CNB Technology Inc","CNB Technology Inc",,
CNCFL,"CNC Flow Control ","CNC Flow Control ",,
COOPP,"Co-Op Petroleum","Co-Op Petroleum",,
CCHBR,"Coach Brakes","Coach Brakes",,
CCHEQ,"COACH & EQUIPMENT MFG. CORP.",,,
CCHGD,Coachguard,Coachguard,,
CSTPX,Coast,Coast,,
CCTEQ,"Coast Counties Truck and Equipment","Coast Counties Truck and Equipment",,
CPLTD,"Coast Powertrain ","Coast Powertrain",,
CTCIN,"Coast to Coast International","Coast to Coast",,
CDSXX,"Coastal Diesel Service Inc","Coastal Diesel Service Inc",,
CSTAL,"Coastal Industries Inc ","Coastal Industries Inc ",,
COAST,"Coastal Machinery","Coastal Machinery",,"Requested by Rich Viehdorfer, National Grid"
COSTL,"COASTAL MOBILE & MODULAR CORP.",,,
COATS,Coats,Coats,,
COBBM,"Cobb Mfg","Cobb Mfg",,
COBBE,"Cobbe Industries Inc","Cobbe Industries Inc",,
COBOX,"Cobo International ","Cobo International",,
COBRA,Cobra,Cobra,,
COCLN,"Cobra Clean LLC","Cobra Clean LLC",,
COBRE,"Cobra Electronics Corporation","Cobra Electronics Corporation",,
CWACX,"Cobra Wire & Cable div EIS Inc","Cobra Wire & Cable",,
COBEQ,"Cobreq Inc.",Cobreq,,"Requested by Kirk NationaLeaseMike Kramer"
COBMY,Coburn-Myers,Coburn-Myers,,
CCBCC,"Coca-Cola Bottling Co Consolidated",Coca-Cola,,
CCHRN,"COCHRANE EQUIPMENT CO.",,,
COKST,Cockshutt,Cockshutt,,
CDVLE,"Codard Valves","Codard Valves",,
CODEI,"Code 3 Inc","Code 3",,
COFAP,Cofap,Cofap,,
COFST,"Coffing Hoist","Coffing Hoist",,
COGMA,Cogema,Cogema,,
COGNS,"Cognis Corporation",Cognis,,
COILS,"Coil Solutions","Coil Solutions",,
COILH,Coilhose,Coilhose,,
"COIAL ","Cojali USA Inc","Cojali USA",,
CLDHD,"Cold Headers Inc","Cold Headers Inc ",,
COLHR,"Cole Hersee Company","Cole Hersee",,
COLEX,"COLE TRAILER COMPANY",,,
CLPLM,"Cole-Palmer Canada Inc","Cole-Palmer Canada Inc",,
CCIXX,"Coleman Cable Inc ","Coleman Cable",,
CLMAN,"COLEMAN COMPANY",,,
COLTM,"Coleman Tool and Manufacturing Corp ","Coleman Tool and Manufacturing Corp ",,
COLSG,Coles-Grove,Coles-Grove,,
COLCP,"Collars & Couplings Inc","Collars & Couplings Inc",,
COLBS,"Collins Bus Manufacturing, Inc","Collins Bus",,
CLLMN,"COLLINS MANUFACTURING CO., LTD.",,,
COLSL,"Colonial Sales Division","Colonial Sales",,
COLON,"Colony Tire Corp","Colony Tire",,
COLRN,Colrain,Colrain,,
COLSN,"COLSON CASTER CORP.",,,
COLTX,"Colt Industries","Colt Industries",,
COLMB,"COLUMBIA BODY & EQUIP CORP.",,,
COLPR,"Columbia Pacar Corp","Columbia Pacar Corp",,
CLMTR,"COLUMBIA TRAILER CO. LTD.",,,
COLUM,"Columbus Auto Parts","Columbus Auto Parts",,
COGCO,"Columbus Gasket Co","Columbus Gasket",,
COLMK,"Columbus McKinnon Corp","Columbus McKinnon",,"Requested by FedEx"
CARTN,"Comair Rotron","Comair Rotron",,
COMRG,"Comat Releco Group","Comat Releco Group",,
CMBLF,"CombiLift Inc ",CombiLift,,
COMDY,"Comdyne Inc",Comdyne,,
COMET,"COMET CORP.",,,
COMIP,"Comet Industrial Pump Division ","Comet Industrial Pump Division ",,
COMFS,"Comforser Canada","Comforser Canada",,
COMLS,"Comfort 4 Less","Comfort 4 Less",,
CMFRT,"Comfort Products Inc","Comfort Products Inc",,
CFMST,"Comfort Seat, Ltd.","Comfort Seat",,"Requested by Wayne Baker, Canpar Transport, Ltd. No DUNS available"
CFAIR,"Comfortaire Inc",Comfortaire,,
CMMEL,"Command Electronics","Command Electronics",,
CFAST,"Commercial Fastening","Commercial Fastening",,
COMIG,"Commercial Ignition","Commercial Ignition",,
COMPT,"Commercial Parts and Pumps","Commercial Parts and Pumps",,
CMMPL,"COMMERCIAL PLASTICS",,,
COMRL,"Commercial Pumps","Commercial Pumps",,
CMMSH,"COMMERCIAL SHEARING, DIV. OF COMPONENT TECH.",,,
COMST,"Commercial Structures","Commercial Structures",,
CMMTR,"COMMERCIAL TRUCK BODIES",,YES,"Obsolete - use CMMRC"
CMMRC,"COMMERCIAL TRUCK BODIES LTD.",,,"Replaces - CMMTR"
CMMVN,"COMMERCIAL VANS INC./BABCOCK MOTOR BODIES LTD.",,,
CVGRP,"Commercial Vehicle Group, Inc. (CVG)","Commercial Vehicle Group",,"Requested by Mike KramerKirk NationaLease"
CMNWL,"Commonwealth Ind. Corp.",Commonwealth,,"Requested by Fedex"
COMOI,"Como International","Como International",,
COMPC,"Comp Cams","Comp Cams",,
COMPR,Compair,Compair,,"Requested by FedEx"
CMPCN,"COMPAIR-CANADA LTD.",,,
COMCT,"Complementary Coatings Corp","Complementary Coatings",,"Requested by SEFL "
CMPPR,"COMPLETE PARTS",,,
COMPL,"Complete Pump Corp.","Complete Pump",,"Requested by Parts River "
CMPTC,"Component Technology Inc","Component Technology",,
COMPA,"Componenta UK Ltd","Componenta UK Ltd",,
CPMCI,"Components Company Inc","Components Company Inc",,
CMPRS,"Compresseur D'Air Express","Compresseur D'Air Express",,
COMPW,"Compressorworks Inc",Compressorworks,,
COMTK,"Comptank Corporation",Comptank,,
CMTNM,"Compton Motors Inc","Compton Motors",,
COMPX,"CompX International, Inc",CompX,,"5430 LBJ FreewaySuite 1700Dallas, TX  75240requested by Mike Kramer"
COMTC,"Comtech Inc","Comtech Inc",,
CMTLC,"COMTELCO INDUSTRIES",,,
CONTM,"Con-Tech Manufacturing Inc","Con-Tech Manufacturing ",,
CONWY,"Con-Way Freight","Con-Way Freight",,
CNAFR,Conair/Franklin,Conair/Franklin,,
CONCI,"Conant Controls Inc","Conant Controls Inc",,
CONAX,"Conax Technologies","Conax Technologies",,
CONBR,Conbraco,Conbraco,,
CONRK,"Concentric Rockford Inc","Concentric Rockford Inc",,
CNCPT,"Concept Products Corp","Concept Products",,
CONCP,"Concepts NREC","Concepts NREC",,
CONCA,"Concoa North America","Concoa North America",,
CONMC,"Concrete Materials Company","Concrete Materials",,
CONMS,"Concrete Mixer Supply","Concrete Mixer Supply",,
CNDRC,"CONDAR CARRIAGE CO.",,,
CONDR,"Condor, Div. of Time Manufacturing",Condor,,"7601 Imperial DrPO Box 20368Waco, Texas, 20368Requested by National Grid"
CONEM,"Condor Engineering and Manufacturing LLC","Condor Engineering and Manufacturing LLC",,
CONDU,Condutix-Wampfler,Condutix-Wampfler,,
CONIX,"Coni Seal","Coni Seal",,
"CONLY ","Conley Corporation","Conley Corporation",,
CMAXE,"Conley Max Energy Inc","Conley Max Energy",,
CONMT,Conmet,Conmet,,"Replaces - CNSMT"
CONTC,"Connection Technology Center Inc ","Connection Technology Center Inc ",,
CCXXX,"Connector Concepts Inc","Connector Concepts Inc",,
CONNR,"Conner Spring","Conner Spring",,
CNRMS,"Connor Manufacturing Services","Connor Manufacturing Services",,
CONCO,Conoco,Conoco,,
CONBG,"Consolidated Bearings Company ","Consolidated Bearings Company ",,
CONDL,"Consolidated Diesel","Consolidated Diesel",,
COFAB,"Consolidated Fabricators Corp","Con Fab",,
CNSMT,"CONSOLIDATED METCO INC.",ConMet,YES,"Obsolete - use CONMT"
CNSPN,"Consolidated Pneumatic","Consolidated Pneumatic",,
CONSP,"Consolidated Spring","Consolidated Spring",,
DRLBT,"Consolidated Toledo Drill Bit","Toledo Drill Bit",,
CONVL,"Consolidated Vendor Lines","Consolidated Vendor Lines",,
CONEP,"Construction Electrical Products Inc","Construction Electrical Products Inc",,
CONFM,"Construction Forms Inc","Construction Forms",,
CIMAX,"Construction Industry Manufacturers Association - CIMA","Construction Ind Mfg",,
CONST,"Construction Machinery","Construction Machinery",,
CONTS,"Construction Trade Press","Construction Trade Press",,
CONFD,"Consultants F. Drapeau","Consultants F. Drapeau",,
CNTIS,"Contact Instruments Ltd","Contact Instruments",,
CONSL,"Containment Solutions","Containment Solutions",,"Requested by FedEx"
CONTI,"Contico Mfg",Contico,,
CONAG,"Continental AG","Continental AG",,
CNTAR,"CONTINENTAL AIR & TECHNOLOGY, INC.",,,
CONAS,"Continental Automotive Systems","Continental Automotive Systems",,"6755 SnowdriftAllentown, Pa "
CONTB,"Continental Batteries","Continental Batteries",,
CONCG,"Continental Cargo div Forest River Inc","Continental Cargo",,
CONCR,"Continental Chain & Rigging Ltd ","Continental Chain & Rigging ",,
CONCV,"Continental Conveyor","Continental Conveyor",,
CNTLD,"Continental Diversified","Continental Diversified",,
CONTE,"Continental Engines Ltd","Continental Engines",,
CBMWM,"Continental Mfg Inc","Continental Mfg",,
CNTNN,"CONTINENTAL MOTORS CORP.",,,
"CNNHP ","Continental NH3 Products Co Inc","Continental NH3 Products",,
CNTPR,"CONTINENTAL PRODUCTS CO.",,,
CONPM,"Continental Pump Co","Continental Pump ",,
"CRCRP ","Continental Research Corporation","Continental Research Corporation",,
CSPIX,"Continental Structural Plastics Inc ","Continental Structural Plastics Inc ",,
CNTTN,"CONTINENTAL TIRE NORTH AMERICA",,,
CNTTR,"CONTINENTAL TRAILER CORP.",,,
CNTTW,"CONTINENTAL TRAILWAYS",,,
CWSTN,"Continental Western Corporation","Continental Western Corporation",,
CTECH,Contitech,Contitech,,
CNTRL,"Contrail Trailers","Contrail Trailers",,
CNTMN,"CONTRAN MANUFACTURING, 1982 LTD.",,,
CONCB,"Control Cables Inc","Control Cables ",,
CONIN,"Control Innovation Inc","Control Innovation Inc",,
CONTX,"Contrx Industries Inc","Contrx Industries Inc",,
CONVR,"Convair Engineering Pty Ltd","Convair Engineering",,
CNVRT,"CONVERTO MANUFACTURING CO.",,,
CONVI,"Convey-All Industries Inc","Convey-All Industries Inc",,
CONRL,"Conveyer Rail","Conveyer Rail",,
CONVC,"Conveyor & Caster Corp","Conveyor & Caster Corp",,
COKBD,"COOK BODY COMPANY",,,
COOKC,"COOK COMPOSITES & POLYMERS",,,
COOKF,"Cook Fasteners Inc","Cook Fasteners",,
COHDW,"Cook Hydraulic Service ","Cook Hydraulic Service ",,
COOKP,"COOK PAINT & VARNISH CO.",,,
COOLC,"Cool Cab","Cool Cab",,
COLHT,"Cool Heat Truck Parts","Cool Heat Truck Parts",,
CLSTR,"Cool Star","Cool Star",,
COOLI,"Cool-It HiWay Services Inc","Cool-It HiWay Services",,
COOLG,"Coolgas Inc","Coolgas Inc",,
COOPR,"Cooper Automotive","Cooper Automotive",,
COOPI,"Cooper Industries LLC","Cooper Industries ",,
CSBNC,"Cooper State Bolt and Nut Companry","Cooper State Bolt and Nut Company",,
CPRTR,"COOPER TIRE & RUBBER CO.",,,
COPRS,Coopers,Coopers,,
COPAL,"Copal Electronics","Copal Electronics",,
COPCO,"COPCO STEEL & ENGINEERING CO.",,,
"COPCL ","Copper Core Limited","Copper Core Limited",,
CORBL,"Corbeil Bus","Corbeil Bus",,"Replaces - CRBEL"
CRBEL,"Corbeil Bus","Corbeil Bus",YES,"Obsolete - use CORBL"
CRBTT,CORBETT,,,
CORTX,"Coretex Group","Coretex Group",,
CORGH,"Corghi SPA","Corghi SPA",,
CORKN,"Corken Inc div of IDEX Corp","Corken Inc",,
CORLV,"Corliving Products","Corliving Products",,
CCSIX,"Cormach Crane Sales Inc","Cormach Crane Sales",,
CORMF,"Cornelius Manufacturing","Cornelius Manufacturing",,
CRNEL,"Cornell Tire","Cornell Tire",,
CNWQT,"Cornwell Quality Tools","Cornwell Quality Tools",,
COROS,"Corona Supplies","Corona Supplies",,
CRNTP,"CORONET PARTS",,,
COROT,"Corotech Coatings Corporation","Corotech Coatings",,"Requested by SEFL "
CORPC,"CORPAC CO., LTD.",,,
CORTF,"Cortec Fluid Control","Cortec Fluid Control",,
CORTE,Corteco,Corteco,,
CORTO,Corteco,Corteco,YES,"Obsolete - use CORTE"
CORSF,"Cortina Safety Products Group","Cortina Safety Products Group",,
CRTNT,"CORTINA TOOL & MOLDING CO.",,,
COSPW,"Cosel Power Supply","Cosel Power Supply",,
COTTA,"Cotta Transmission Company ","Cotta Transmission ",,
CTTRL,"COTTRELL, INC.",,,
COUGR,"Cougar Industries","Cougar Industries",,
CONTP,"Counter Parts ","Counter Parts",,
CNTRA,"Counteract Balancing Beads Inc","Counteract Balancing Beads",,
CTYBT,"Country Boy Trailers","Country Boy Trailers",,
COCMH,"Country Coach Motorhome","Country Coach Motorhome",,
CPMTC,"Couplamatic Systems Inc","Couplamatic Systems",,
CUPLD,"Coupled Products LLC","Coupled Products",,
COUPL,"Couplings Company Inc","Couplings Company",,
CVNTY,"Coventry Climax","Coventry Climax",,
COVCR,"Covercraft Industries Inc",Covercraft,,
COWAN,"Cowan Imaging Group","Cowan Imaging Group",,
COXXX,Cox,Cox,,
COXNA,"Cox North America Inc","Cox North America",,
COXPR,"Cox Printing ","Cox Printing ",,
COXRL,"Cox Reels","Cox Reels",,
CYOTE,"Coyote International LLC","Coyote International ",,
COZAD,"Cozad Trailers","Cozad Trailers",,
CPMAN,"CP Manufacturing","CP Manufacturing",,
SPCHE,"CPC Speciality Chemical Experts","CPC Speciality Chemical Experts",,
CPLXX,"CPL Systems Canada","CPL Systems Canada",,
CPSCT,"CPS Coatings","CPS Coatings",,"Shreveport, LA. "
CPSPR,"CPS Products","CPS Products",,
CRFCO,"Crafco Inc","Crafco Inc",,
CRMTL,"Craftsman Tools","Craftsman Tools",YES,"Obsolete - use CRAFT"
CRAFT,"Craftsman Tools Inc","Craftsman Tools",,"Requested by Parts River "
CRMCO,"Cramaro Tarpaulin Systems","Cramaro Tarpaulin",,
CRNCM,"Crane Cams","Crane Cams",,
CRANE,"CRANE CARRIER, CCI CORP.",,,
CRNCO,"Crane Composites Inc ","Crane Composites Inc ",,
CORTC,"CRANE COR TEC, INC.",,,
CRNFR,"CRANE FRUEHAUF",,,
CRPTO,"Crane Power Take-Off","Crane Power Take-Off",,
CRNMN,CraneMann,CraneMann,,
CRIWK,"Cranston Iron Works","Cranston Iron Works",,"Requested by Rich Viehdorfer, National Grid"
CRARI,"Crary Industries","Crary Industries",,
CRVTS,"CRAVEN TASKER",,,
CRFRD,"Crawford Machine","Crawford Machine",YES,"Obsolete use TRSLN"
CRAFP,"Crawford Products ","Crawford Products ",,
CRCCN,"CRC Canada Inc","CRC Canada",,
CRCIN,"CRC Industries, Inc.",CRC,,"Replaces - SILOO"
CASXX,"Creative Assembly Systems","Creative Assembly Systems ",,
CBUSS,"Creative Bus Sales ","Creative Bus Sales ",,
CRTCO,"Creative Coatings Co Inc","Creative Coatings",,
CRIIX,"Creative Resource Industries Inc ","Creative Resource Industries ",,
CRNLO,Crenlo,Crenlo,,
CREQU,"Crequent Towing Products","Crequent Towing Products",,
CRSCN,"CRESCENT CO., DIV. OF AVNET CORP.",,,
CRSXX,"Crest Industries Inc","Crest Industries Inc",,
CREST,"Crest Truck Parts","Crest Truck Parts",,
CRWSN,"Crewson Brunner Industries","Crewson Brunner",,"Requested by FedEx"
CRTOL,CriticalTool,CriticalTool,,
CROMI,Cromiance,Cromiance,,
CRNKH,"Cronkhite Industries Incorporated","Cronkhite Industries, Inc.",,
CROOS,"Croos Manufacturing","Croos Manufacturing",,
CROEQ,"Cropac Equipment Inc","Cropac Equipment Inc",,
CRSGR,"CROSBY GROUP",,,
CSLND,Crosland,Crosland,,
CROTR,"Crosley Trailer",Crosley,,"Requested by Parts River "
CROSI,"Crosrol Inc",Crosrol,,"Requested by Parts River "
CROSS,"Cross Country","Cross Country",,
CROSM,"Cross Manufacturing Inc","Cross Manufacturing Inc",,
CROMR,"Cross & Morse Power Transmission Solutions","Cross & Morse",,
CSIIX,"Cross Shaft Innovations Inc ","Cross Shaft Innovations ",,
CROTC,"Cross Telecom","Cross Telecom",,
CRSRV,"CrossRoads RV","CrossRoads RV",,
CRUSL,"Crouch Sales Co Inc","Crouch Sales",,
CRSHN,"CROUSE-HINDS DIV., COPER INDUSTRIES",,,
CRWNA,"Crown Air","Crown Air",,
CRAUT,"Crown Automotive","Crown Automotive",,
CRNBT,"Crown Battery Manufacturing","Crown Battery",,
CRWCC,"CROWN COACH CORP.",,,
CRWCN,"CROWN CONTROLS CORP.",,,
CRWDV,"CROWN DIVISION, THE ALLEN GROUP, INC.",,,
CRWNE,"CROWN ELECTRONICS",,,
CRNEN,"Crown Energy Technologies Inc","Crown Energy Technologies Inc",,
CRWEN,"CROWN ENGINES & PARTS CO., LTD.",,,
CRWEQ,"Crown Equipment Company","Crown Equip",,"Headquartered in Jackson, MORequested by Ted Phillips, Frito-Lay"
CRMAT,"Crown Mats","Crown Mats",,
CRSEL,"CRS Electronics LTD","CRS Electronics",,
CRSPP,"CRS Pump Parts Co","CRS Pump Parts Co",,
CRSSR,"CRS Service Inc","CRS Service",,
CTSAR,"Cruise-Aire Air Conditioning",Cruise-Aire,,
CRSMR,Cruisemaster,Cruisemaster,,
CRUAC,"Cruiser Accessories LLC","Cruiser Accessories LLC",,
CRSDR,Crusader,Crusader,,
CRSDM,"Crusader Marine","Crusader Marine",,
CRFLD,"Crutchfield Corp","Crutchfield Corp",,
CRYDM,"Crydom Inc","Crydom Inc",,
CRYOC,"Cryo Canada Inc","Cryo Canada Inc",,
CRYOE,"Cryogenic Experts Inc","Cryogenic Experts Inc",,
CRYVA,"Cryogenic Vessel Alternatives ","Cryogenic Vessel Alternatives ",,
CRYOM,"Cryomax Cooling Systems Corp","Cryomax Cooling Systems",,
CRYST,Crystal,Crystal,,
CYLMN,"Crysteel Manufacturing","Crysteel Manufacturing",,
CSFXX,CSF,CSF,,
CSKPS,"CSK Proshop","CSK Proshop",,
CSLSI,"CSL Silicones Inc","CSL Silicones",,"Requested by Parts River "
CSTXX,"CST Inc","CST Inc",,
CTAIR,"CT Air Link","CT Air Link",,
CTCXX,CTC,CTC,,
CTECN,"CTE Canada Ltd","CTE Canada Ltd",,
CTECM,"CTECH Manufacturing ","CTECH Manufacturing ",,
CTRIC,"CTR Industrial Chemicals","CTR Industrial Chemicals",,
CTWEL,"CTW Electrical Co Inc",,,"601 Sayre CtGreenwood, In 46143requested by Kirk NationaLease"
CUBCD,"Cub Cadet","Cub Cadet",,
CUINC,"CUI Inc","CUI Inc",,
CULMC,"Cul-Mac Industries Inc","Cul-Mac Industries",,
CLMPR,"Cul-Mac Products",Cul-Mac,,"Requested by Parts River "
CMMNS,"Cummins Engine Company, Inc.",Cummins,,
CMMSN,"CUMMINS SUNSTRAND INC.",,,
CUNHA,"Cunha Products OHD","Cunha Products",,
CMCXX,"Cunningham Manufacturing Company","Cunningham Mfg",,
CUNOX,CUNO,CUNO,,
CRATO,"Curotto-Can Inc",Curotto-Can,,
CRTHI,"Curt Manufacturing","Curt Manufacturing",,
CRTIS,"Curtis 1000","Curtis 1000",,
CURTI,"Curtis Instruments Inc ","Curtis Instruments Inc ",,
CURTS,"CURTIS MANUFACTURING",,,
CUMNE,"Curtis Marine","Curtis Marine",,"Requested by National Grid "
CURTO,"Curtis Toledo Inc.","Curtis Toledo",,"Requested by FedEx"
CURTW,Curtiss-Wright,Curtiss-Wright,,
CWFCL,"Curtiss-Wright Flow Control","Curtiss-Wright Flow Control",,
CRVDG,"Curved Glass Distributors","Curved Glass Distributors",,
CUSCO,Cusco,Cusco,,
CUSHS,"Cush Corporation","Cush Corporation",,
CSHMN,"CUSHMAN MOTORS",,,
CUSPR,"Custer Products Limited","Custer Products Limited",,
CSACC,"Custom Accessories","Custom Accessories",,
CSTAP,"Custom Actuator Products Inc","Custom Actuator Products",,
CSTBD,"CUSTOM BODY MFG.",,,
CUSBL,"Custom Built","Custom Built",,"Requested by National Grid"
CMCLT,"Custom Clutch, Joint and Hydraulics Inc","Custom Clutch, Joint and Hydraulics",,
CCSEN,"Custom Control Sensors LLC (CCS)","Custom Control Sensors LLC (CCS)",,
CSTCD,"CUSTOM CRAFTED DOLLIES, INC.",,,
CSENT,"Custom Enterprises","Custom Enterprises",,
CSTGR,"Custom Graphics","Custom Graphics",,
CUSTH,"Custom Hoists Inc","Custom Hoists",,
CSTIN,"CUSTOM INDUSTRIES",,,
CLCXX,"Custom Leathercraft Manufacturing","Custom Leathercraft",,
CSTOM,"Custom Manufacturing","Custom Mfg.",,"Requested by Rich Viehdorfer, National Grid"
CUSMT,"Custom Metalcraft Inc","Custom Metalcraft Inc",,
CSTRD,"CUSTOM RADIO CORPORATION",,,
CUSTM,"CUSTOM TRAILERS",,,
CSTUP,"Custom Upholstery","Custom Upholstery",,
CUSYA,"Custom Vacuum","Custom Vacuum",,
CUTNG,"Cutting Edge Supply","Cutting Edge Supply",,
CVPRD,"CV Products","CV Products",,
CVGXX,CVG,CVG,,
CVSCT,"CVS Controls","CVS Controls",,
CVSHU,"CVS Houston","CVS Houston",,
CWMAN,"CW Manufacturing Ltd","CW Manufacturing Ltd",,
CWMIL,"CW Mill Equipment Co Inc","CW Mill Equipment",,
CYATC,"Cyalume Technologies","Cyalume Technologies",,
CYCLO,"Cyclo Industries LLC","Cyclo Industries",,
CYCGR,"CYCLO-GUARD AIR DRYERS",,,
CYCLD,"Cycloid Company",Cycloid,,
CYCLN,"Cyclone ",Cyclone,,
CYGIN,"Cygnus Instruments ","Cygnus Instruments ",,
CYPRS,Cypress,Cypress,,
DWCBX,"D and W Clutch and Brake","D and W Clutch and Brake",,
DANDW,"D and W Diesel and Electric Inc","D and W Diesel and Electric",YES,"Obsolete - use DWDSL"
DDINS,"D & D Instruments","D & D Instruments",,"Requested by Parts River "
DMTCP,"D.M.T. Corp",D.M.T.,,"Requested by Parts River"
DRMRK,"D.R. MARKETING, INC.",,,
DSANS,"D S Anthony & Sons","D S Anthony & Sons",,
DWDSL,"D & W Diesel","D & W Diesel",,"Replaces - DANDW"
DEIND,"D&E Industries, Inc.","D&E Industries",,
DALUB,"D-A Lubricants Inc","D-A Lubricants",,
DAMFG,"DA Manufacturing","DA Manufacturing",,
DACTR,"DACO TRAILER, INC.",,,
"DACON ","Dacon Industries Co","Dacon Industries ",,
DAEMR,"Daemar Inc","Daemar Inc",,
DAEWO,"Daewoo Heavy Industries","Daewoo Heavy Industries",,
DAFXX,"DAF (IHC, NETHERLANDS)",,,
DGNHM,DAGENHAM,,,
DAHLX,DAHL,DAHL,,
DHLMN,"Dahlman Electrical Cords","Dahlman Electrical Cords",,
DMRPT,"Dahmer Powertrain Inc","Dahmer Powertrain",,
DAITC,"DAI TECHNOLOGIES",,,
DIADO,Daido,Daido,,
DHTSU,Daihatsu,Daihatsu,,
DAIKN,"Daikin Industries Ltd","Daikin Industries ",,
DLYBD,"DAILEY BODY COMPANY",,,
DAYEQ,"Daily EQ","Daily EQ",,
DTNAX,"Daimler Trucks North America","Daimler Trucks North America",,
DMLER,DaimlerChryslerAG,DaimlerChrysler,,
DAIRY,"DAIRY EQUIPMENT CO.",,,
DAKTA,"Dakota Electronics","Dakota Electronics",,
DAKOT,"DAKOTA MANUFACTURING CO.",,,
DRGRS,"Dakota Riggers & Toll Supply Inc","Dakota Riggers",,
DKOTA,"Dakota Tire","Dakota Tire",,
DKULT,"Dakota Ultra Sonics","Dakota Ultra Sonics",,
DADAM,"Dale Adams Enterprises","Dale Adams Enterprises",,
DALLA,"Dallas Metal Fabricator","Dallas Metal Fabricator",,
DLLAS,"DALLAS SPRING",,,
DALTR,"Dallas Trailers","Dallas Trailers",,
DALLS,"DALLAS TRUCK AIR CONDITIONING & ELECTRIC",,,
DAMPR,"Daman Products Company Inc","Daman Products Company Inc",,
DAMSN,"Damsen Trailers",Damsen,,
DANAX,"DANA CORPORATION",,,
DANHR,"Danaher Corporation",Danaher,,
DANDL,"Dandl Mower","Dandl Mower",,
DAFLP,"Danfoss Fluid Power","Danfoss Fluid",YES,"Obsolete - use DANPW"
DAFNA,"Danfoss North America","Danfoss North America",YES,"Obsolete - use DANPW"
